Month,Title,Fecha,Column4,Employed,Trend,Serie sin tendencia,Estacionalidad,Residuo,Serie desestacionalizada,,,
2017 sep.,Retail Trade,01/09/17,9,15679,15858,-179,-101,-77,15780,,,
2017 oct.,Retail Trade,01/10/17,10,15820,15873,-53,2,-55,15818,,,
2017 nov.,Retail Trade,01/11/17,11,16286,15869,417,361,55,15924,,,
2017 dic.,Retail Trade,01/12/17,12,16306,15863,443,551,-107,15755,,,
2018 ene.,Retail Trade,01/01/18,1,15719,15852,-133,-94,-39,15812,,,
2018 feb.,Retail Trade,01/02/18,2,15577,15830,-253,-268,15,15845,,,
2018 mar.,Retail Trade,01/03/18,3,15611,15806,-195,-225,31,15836,,,
2018 abr.,Retail Trade,01/04/18,4,15681,15803,-121,-164,42,15845,,,
2018 may.,Retail Trade,01/05/18,5,15797,15808,-11,-72,61,15869,,,
2018 jun.,Retail Trade,01/06/18,6,15845,15812,33,-2,34,15846,,,
2018 jul.,Retail Trade,01/07/18,,15854.5,,,,,,,,
2018 ago.,Retail Trade,01/08/18,,15834.9,,,,,,,,
2018 sep.,Retail Trade,01/09/18,,15680.6,,,,,,,,
2018 oct.,Retail Trade,01/10/18,,15796.5,,,,,,,,
2018 nov.,Retail Trade,01/11/18,,16291.3,,,,,,,,
2018 dic.,Retail Trade,01/12/18,,16309.2,,,,,,,,
2019 ene.,Retail Trade,01/01/19,,15753.5,,,,,,,,
2019 feb.,Retail Trade,01/02/19,,15567.4,,,,,,,,
2019 mar.,Retail Trade,01/03/19,,15576.6,,,,,,,,
2019 abr.,Retail Trade,01/04/19,,15624.9,,,,,,,,
2019 may.,Retail Trade,01/05/19,,15691.6,,,,,,,,
2019 jun.,Retail Trade,01/06/19,,15775.5,,,,,,,,
2019 jul.,Retail Trade,01/07/19,,15785.9,,,,,,,,
2019 ago.,Retail Trade,01/08/19,,15749.5,,,,,,,,
2019 sep.,Retail Trade,01/09/19,,15611.3,,,,,,,,
